...1,filename,sentence,file_id2,newspaper_name,newspaper_state,date,year,month,day,page,edition,mod_id,unnamed_0,file_id,article_id,sn,url,filepath
112668,20019_0.txt,"Ruse Halts Murderer's Flight, but",20019_0,"Dakota farmers' leader. (Canton, S.D.)",South Dakota,1910-01-07,1910,1,7,seq-3,ed-1,1,6395,20019,0,sn00065127,https://articleextractor.org/pages/20019/mnhi_windstar_ver01/sn00065127/1/7/ed-1/seq-3/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/20019_0.txt
47941,14770_0.txt,In Their Statement They Make It,14770_0,"The Sentinel=record. (Hot Springs, Ar...)",Arkansas,1910-01-09,1910,1,9,seq-1,ed-1,1,494,14770,0,sn89051285,https://articleextractor.org/pages/14770/arhi_electabuzz_ver01/sn89051285/1/9/ed-1/seq-1/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14770_0.txt
112642,20017_0.txt,tion was not one to develop moral principles.,20017_0,"The Rich Hill tribune. (Rich Hill, Mo.)",Missouri,1910-01-13,1910,1,13,seq-6,ed-1,1,6668,20017,0,sn90061663,https://articleextractor.org/pages/20017/mohi_jerome_ver01/sn90061663/1/13/ed-1/seq-6/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/20017_0.txt
129702,86661_0.txt,LYNCHING FEARED,86661_0,"The Brunswick news (Brunswick, Ga.) 1906-2016",Georgia,1910-01-13,1910,1,13,seq-1,ed-1,1,2770,86661,0,sn90052143,https://articleextractor.org/pages/86661/gu_javert_ver01/sn90052143/1/13/ed-1/seq-1/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/86661_0.txt
124373,86424_0.txt,Gov. Deneen has ordered troops to,86424_0,"The interior journal (Stanford, Ky.) 1905-1910",Kentucky,1910-01-14,1910,1,14,seq-4,ed-1,2,4830,86424,0,sn85052021,https://articleextractor.org/pages/86424/kyu_fernico_ver01/sn85052021/1/14/ed-1/seq-4/2,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/86424_0.txt
128498,86599_0.txt,ILLINOIS MOB WOULD LYNCH.,86599_0,"The Ekalaka eagle (Ekalaka, Mont.)",Montana,1910-01-21,1910,1,21,seq-6,ed-1,2,7262,86599,0,sn85053090,https://articleextractor.org/pages/86599/mthi_dollyvarden_ver01/sn85053090/1/21/ed-1/seq-6/2,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/86599_0.txt
128596,86612_0.txt,"Sheriff Joseph F. Shipp, Nick",86612_0,"The Big Sandy news (Louisa, Ky.)",Kentucky,1910-02-04,1910,2,4,seq-2,ed-1,3,4850,86612,0,sn83004226,https://articleextractor.org/pages/86612/kyu_flamingo_ver01/sn83004226/2/4/ed-1/seq-2/3,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/86612_0.txt
94593,19274_0.txt,"Former Sheriff Joseph F. Shipp,",19274_0,Fair play (Ste. Genevieve ...),Missouri,1910-02-05,1910,2,5,seq-1,ed-1,1,6562,19274,0,sn87052181,https://articleextractor.org/pages/19274/mohi_gordon_ver01/sn87052181/2/5/ed-1/seq-1/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/19274_0.txt
37939,14381_0.txt,MILITIA IS,14381_0,"The Sentinel=record. (Hot Springs, Ar...)",Arkansas,1910-02-19,1910,2,19,seq-1,ed-1,1,495,14381,0,sn89051285,https://articleextractor.org/pages/14381/arhi_electabuzz_ver01/sn89051285/2/19/ed-1/seq-1/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14381_0.txt
28675,9661_0.txt,The brutal murder of a 5- year- old,9661_0,"Vilas County news (Eagle River, Vi...)",Wisconsin,1910-02-23,1910,2,23,seq-2,ed-1,1,13030,9661,0,sn85040613,https://articleextractor.org/pages/9661/whi_clearwater_ver01/sn85040613/2/23/ed-1/seq-2/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/9661_0.txt
40962,14457_0.txt,MOB ENRAGED BY,14457_0,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,California,1910-03-04,1910,3,4,seq-3,ed-1,1,1804,14457,0,sn85042462,https://articleextractor.org/pages/14457/curiv_rubidoux_ver01/sn85042462/3/4/ed-1/seq-3/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14457_0.txt
140760,87114_0.txt,COURTS AFTER,87114_0,NA,Arkansas,1910-03-09,1910,3,9,seq-1,ed-1,1,667,87114,0,sn89051168,https://articleextractor.org/pages/87114/arhi_inxs_ver01/sn89051168/3/9/ed-1/seq-1/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87114_0.txt
67185,17702_0.txt,NEGRO PREACHER LYNCHED.,17702_0,"The Washington herald (Washington, D.C...)",District of Columbia,1910-03-10,1910,3,10,seq-1,ed-1,1,2308,17702,0,sn83045433,https://articleextractor.org/pages/17702/dlc_lima_ver01/sn83045433/3/10/ed-1/seq-1/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/17702_0.txt
67104,17694_0.txt,"Marion, Ark., March 18.- Bob Austin",17694_0,"Rock Island Argus. (Rock Island, Il...)",Illinois,1910-03-18,1910,3,18,seq-1,ed-1,1,4019,17694,0,sn92053934,https://articleextractor.org/pages/17694/iune_index_ver01/sn92053934/3/18/ed-1/seq-1/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/17694_0.txt
67129,17697_0.txt,"Marion, Arkansas, March 18.",17697_0,"The Fargo forum and daily republican (Fargo, N.D.)",North Dakota,1910-03-18,1910,3,18,seq-1,ed-1,1,8700,17697,0,sn85042224,https://articleextractor.org/pages/17697/ndhi_gorn_ver01/sn85042224/3/18/ed-1/seq-1/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/17697_0.txt
27571,9616_0.txt,HERE'S A QUEER VERDICT.,9616_0,"Tonopah daily bonanza (Tonopah, Nev.)",Nevada,1910-03-22,1910,3,22,seq-3,ed-1,1,9211,9616,0,sn86076142,https://articleextractor.org/pages/9616/nvln_aurora_ver02/sn86076142/3/22/ed-1/seq-3/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/9616_0.txt
150084,87482_0.txt,"Insisted He"" Was as Good as Any",87482_0,"The Madison daily leader (Madison, S.D.)",South Dakota,1910-03-28,1910,3,28,seq-4,ed-1,1,10559,87482,0,sn99062034,https://articleextractor.org/pages/87482/sdhi_grenada_ver01/sn99062034/3/28/ed-1/seq-4/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87482_0.txt
139128,87056_0.txt,Negro Lynched by Mob.,87056_0,NA,Wyoming,1910-03-31,1910,3,31,seq-2,ed-1,1,13701,87056,0,sn92067236,https://articleextractor.org/pages/87056/wyu_jackson_ver01/sn92067236/3/31/ed-1/seq-2/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87056_0.txt
139136,87056_1.txt,"As the result of a race war, two negroes",87056_1,NA,Wyoming,1910-03-31,1910,3,31,seq-2,ed-1,1,13702,87056,1,sn92067236,https://articleextractor.org/pages/87056/wyu_jackson_ver01/sn92067236/3/31/ed-1/seq-2/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87056_1.txt
47833,14763_0.txt,NEGRO MOB LYNCHES NEGROES.,14763_0,"The Forrest City times (Forrest City, A...)",Arkansas,1910-04-08,1910,4,8,seq-7,ed-1,1,425,14763,0,sn84022960,https://articleextractor.org/pages/14763/arhi_alakazam_ver01/sn84022960/4/8/ed-1/seq-7/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14763_0.txt
140600,87104_0.txt,OTHER PICKETT,87104_0,NA,Arkansas,1910-04-10,1910,4,10,seq-1,ed-1,1,668,87104,0,sn89051168,https://articleextractor.org/pages/87104/arhi_inxs_ver01/sn89051168/4/10/ed-1/seq-1/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87104_0.txt
27492,9613_0.txt,"ROBIN COOPER,",9613_0,NA,Maryland,1910-04-14,1910,4,14,seq-5,ed-1,1,5221,9613,0,sn88065731,https://articleextractor.org/pages/9613/mdu_jacobsen_ver01/sn88065731/4/14/ed-1/seq-5/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/9613_0.txt
